DATE,AHETPI,AWHI,CIVPART,EMRATIO,LNS12032194,LNS13023622,LNS13023706,LNS13025703,LNS17100000,NAPMEI,TEMPHELPS,U6RATE,UNRATE,USPRIV
1992-01-01,10.65,82.4,66.3,61.5,6593,54.0,11.9,17.5,2425,40.6,1150.6,,7.3,89689
1992-02-01,10.67,82.3,66.2,61.3,6551,57.0,9.8,18.1,2044,43.9,1157.3,,7.4,89625
1992-03-01,10.70,82.4,66.4,61.5,6531,57.4,9.5,18.8,2117,43.7,1169.9,,7.4,89653
1992-04-01,10.72,83.0,66.5,61.6,6492,57.3,10.4,18.9,2181,45.0,1183.1,,7.4,89788
1992-05-01,10.74,83.1,66.6,61.5,6550,57.7,10.3,20.6,2161,49.5,1198.5,,7.6,89900
1992-06-01,10.77,82.9,66.7,61.5,6462,56.0,10.2,21.3,2217,46.6,1207.7,,7.8,89959
1992-07-01,10.79,83.0,66.7,61.6,6509,55.7,10.5,21.5,2301,45.5,1212.5,,7.7,89975
1992-08-01,10.82,83.1,66.6,61.6,6485,55.0,11.4,21.0,2188,47.3,1222.8,,7.6,90047
1992-09-01,10.82,83.4,66.5,61.4,6410,55.7,10.2,21.5,2241,45.1,1230.3,,7.6,90137
1992-10-01,10.85,83.3,66.2,61.3,6575,57.7,9.6,23.1,2264,44.7,1248.9,,7.3,90320
1992-11-01,10.87,83.5,66.3,61.4,6628,55.2,10.5,20.7,2252,47.1,1263.6,,7.4,90443
1992-12-01,10.89,83.7,66.3,61.4,6458,54.1,10.7,21.4,2247,45.9,1285.4,,7.4,90618
1993-01-01,10.93,84.3,66.2,61.4,6196,53.6,10.4,21.2,2180,46.9,1295.8,,7.3,90904
1993-02-01,10.94,84.6,66.2,61.4,6627,52.8,11.1,20.7,2102,47.0,1304.7,,7.1,91145
1993-03-01,10.99,84.0,66.2,61.5,6318,55.1,11.3,20.0,2181,47.1,1318.2,,7.0,91091
1993-04-01,10.99,85.0,66.1,61.5,6586,55.0,10.8,18.2,2139,44.8,1341.7,,7.1,91368
1993-05-01,11.02,85.0,66.4,61.7,6543,53.4,10.7,19.6,2217,43.6,1363.8,,7.1,91621
1993-06-01,11.03,85.2,66.5,61.8,6635,54.4,10.5,19.5,2119,43.2,1378.7,,7.0,91785
1993-07-01,11.05,85.6,66.4,61.8,6700,55.0,10.7,19.8,2243,43.6,1398.9,,6.9,91995
1993-08-01,11.08,85.6,66.4,62.0,6681,55.5,10.5,20.1,2109,41.9,1411.6,,6.8,92183
1993-09-01,11.10,86.0,66.2,61.7,6575,54.7,10.8,20.2,2023,44.5,1427.6,,6.7,92410
1993-10-01,11.13,86.3,66.3,61.8,6376,54.6,11.1,20.4,2115,46.0,1463.2,,6.8,92695
